"","Wavelength","Excitation","Emission"
"1",300,52.20362,0
"2",301,44.4513,0
"3",302,37.6193,0
"4",303,31.7401,0
"5",304,27.328,0
"6",305,23.66297,0
"7",306,20.60373,0
"8",307,18.79558,0
"9",308,17.60999,0
"10",309,16.50561,0
"11",310,15.84569,0
"12",311,15.57447,0
"13",312,15.3092,0
"14",313,14.93079,0
"15",314,14.62167,0
"16",315,14.35153,0
"17",316,13.96175,0
"18",317,13.88,0
"19",318,13.79934,0
"20",319,13.9834,0
"21",320,13.81558,0
"22",321,13.81558,0
"23",322,14.18371,0
"24",323,14.44897,0
"25",324,14.31363,0
"26",325,14.25354,0
"27",326,14.69746,0
"28",327,14.28602,0
"29",328,14.65469,0
"30",329,14.84363,0
"31",330,14.97355,0
"32",331,15.17927,0
"33",332,15.38012,0
"34",333,15.51005,0
"35",334,15.4938,0
"36",335,15.84569,0
"37",336,16.09418,0
"38",337,16.34374,0
"39",338,16.75518,0
"40",339,17.23699,0
"41",340,17.83736,0
"42",341,18.29211,0
"43",342,18.70354,0
"44",343,19.40732,0
"45",344,19.78681,0
"46",345,20.31139,0
"47",346,20.77155,0
"48",347,21.21601,0
"49",348,21.78931,0
"50",349,22.39022,0
"51",350,22.82873,0
"52",351,23.46754,0
"53",352,23.85786,0
"54",353,24.27471,0
"55",354,24.75598,0
"56",355,25.48195,0
"57",356,25.99624,0
"58",357,26.60203,0
"59",358,27.27332,0
"60",359,27.79898,0
"61",360,28.39448,0
"62",361,28.98998,0
"63",362,29.50373,0
"64",363,29.95361,0
"65",364,30.43488,0
"66",365,30.76565,0
"67",366,31.22527,0
"68",367,31.5176,0
"69",368,31.70167,0
"70",369,31.994,0
"71",370,32.24844,0
"72",371,32.28093,0
"73",372,32.27605,0
"74",373,32.5895,0
"75",374,32.50343,0
"76",375,32.74108,0
"77",376,32.97441,0
"78",377,33.46164,0
"79",378,33.79133,0
"80",379,34.39765,0
"81",380,34.95039,0
"82",381,36.00063,0
"83",382,36.96967,0
"84",383,37.62418,0
"85",384,38.16608,0
"86",385,40.28227,0
"87",386,41.66274,0
"88",387,42.84345,0
"89",388,44.27806,0
"90",389,45.66937,0
"91",390,47.25502,0
"92",391,48.56512,0
"93",392,50.15672,0
"94",393,51.60758,0
"95",394,53.27552,0
"96",395,54.80758,0
"97",396,56.51287,0
"98",397,58.10447,0
"99",398,59.74426,0
"100",399,61.43927,0
"101",400,63.10071,0
"102",401,64.62735,0
"103",402,66.34943,0
"104",403,67.98921,0
"105",404,69.77571,0
"106",405,71.3998,0
"107",406,73.04555,0
"108",407,74.66476,0
"109",408,76.32133,0
"110",409,77.82037,0
"111",410,79.33131,0
"112",411,80.73344,0
"113",412,82.27578,0
"114",413,83.69415,0
"115",414,85.13472,0
"116",415,86.49841,0
"117",416,87.85181,0
"118",417,89.1944,0
"119",418,90.38052,0
"120",419,91.51143,0
"121",420,92.56222,0
"122",421,93.61246,0
"123",422,94.5593,0
"124",423,95.28473,0
"125",424,96.35176,0
"126",425,97.09342,0.5693572
"127",426,97.65644,0.4668313
"128",427,98.24112,0.473597
"129",428,98.85827,0.4902509
"130",429,99.03096,0.4410697
"131",430,99.52415,0.4725561
